state,response,coverage,education,employmentstatus,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_combined,effective_to_date
Washington,0,Basic,Bachelor or below,Employed,F,Suburban,Married,1,Agent,Two-Door Car,Medsize,L3 Corporate Auto,2011-02-24
Arizona,0,Extended,Bachelor or below,Other,F,Suburban,Single,3,Agent,Four-Door Car,Medsize,L3 Personal Auto,2011-01-31
Nevada,0,Premium,Bachelor or below,Employed,F,Suburban,Married,1,Agent,Two-Door Car,Medsize,L3 Personal Auto,2011-02-19
California,0,Basic,Bachelor or below,Other,M,Suburban,Married,1,Call Center,SUV,Medsize,L2 Corporate Auto,2011-01-20
Washington,0,Basic,Bachelor or below,Employed,M,Rural,Single,1,Agent,Four-Door Car,Medsize,Personal L1 Auto,2011-02-03
Oregon,1,Basic,Bachelor or below,Employed,F,Rural,Married,2,Web,Two-Door Car,Medsize,L3 Personal Auto,2011-01-25
Oregon,1,Basic,Bachelor or below,Employed,F,Suburban,Married,1,Agent,Four-Door Car,Medsize,L3 Corporate Auto,2011-02-24
Arizona,0,Premium,Graduate Level,Other,M,Urban,Single,1,Agent,Four-Door Car,Medsize,L3 Corporate Auto,2011-01-18
Oregon,1,Basic,Bachelor or below,Other,M,Suburban,Divorced,1,Agent,Four-Door Car,Medsize,L3 Corporate Auto,2011-01-26
Oregon,0,Extended,Bachelor or below,Employed,F,Urban,Married,2,Branch,Four-Door Car,Medsize,L2 Special Auto,2011-02-17
California,0,Basic,Bachelor or below,Other,M,Suburban,Single,1,Agent,Four-Door Car,Small,L3 Personal Auto,2011-02-21
California,0,Basic,Bachelor or below,Other,F,Suburban,Married,2,Agent,SUV,Medsize,L3 Personal Auto,2011-01-06
California,0,Premium,Graduate Level,Employed,M,Urban,Married,2,Agent,Four-Door Car,Medsize,L1 Corporate Auto,2011-02-06
Arizona,1,Basic,High School or Below,Employed,M,Suburban,Married,2,Branch,SUV,Medsize,L3 Corporate Auto,2011-01-10
California,0,Basic,Bachelor or below,Employed,M,Urban,Single,4,Call Center,Four-Door Car,Medsize,L3 Corporate Auto,2011-01-18
Oregon,0,Basic,Bachelor or below,Employed,F,Rural,Married,2,Branch,Four-Door Car,Medsize,L2 Corporate Auto,2011-01-17
Nevada,0,Basic,High School or Below,Other,M,Suburban,Married,2,Call Center,Two-Door Car,Medsize,L3 Personal Auto,2011-02-06
California,0,Basic,Bachelor or below,Other,M,Suburban,Married,3,Call Center,SUV,Medsize,Personal L2 Auto,2011-01-05
Oregon,0,Basic,Bachelor or below,Employed,M,Urban,Married,2,Branch,Four-Door Car,Medsize,Personal L2 Auto,2011-02-27
California,0,Premium,High School or Below,Employed,F,Suburban,Married,1,Call Center,Four-Door Car,Small,L2 Corporate Auto,2011-01-14
Oregon,0,Basic,High School or Below,Employed,M,Suburban,Single,1,Branch,Two-Door Car,Medsize,Personal L2 Auto,2011-02-19
Washington,0,Extended,Bachelor or below,Other,F,Suburban,Divorced,4,Call Center,Four-Door Car,Medsize,L3 Personal Auto,2011-01-21
Arizona,1,Basic,Bachelor or below,Other,M,Suburban,Divorced,1,Agent,Four-Door Car,Medsize,L3 Personal Auto,2011-01-26
Nevada,0,Basic,Bachelor or below,Other,F,Suburban,Single,1,Branch,Four-Door Car,Medsize,L3 Corporate Auto,2011-02-24
California,0,Basic,Bachelor or below,Other,F,Suburban,Married,2,Branch,Four-Door Car,Medsize,L2 Corporate Auto,2011-02-05
Oregon,0,Basic,Bachelor or below,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,Large,L3 Personal Auto,2011-01-29
California,0,Premium,Bachelor or below,Other,F,Suburban,Single,1,Agent,Four-Door Car,Small,L3 Personal Auto,2011-02-28
Washington,0,Extended,Graduate Level,Other,F,Urban,Married,1,Branch,SUV,Medsize,L1 Corporate Auto,2011-02-12
Arizona,0,Premium,Bachelor or below,Employed,F,Suburban,Single,1,Call Center,Four-Door Car,Large,L3 Personal Auto,2011-02-02
Oregon,0,Extended,Graduate Level,Employed,F,Suburban,Married,2,Branch,Four-Door Car,Small,L3 Personal Auto,2011-02-07
Arizona,0,Basic,Bachelor or below,Employed,M,Suburban,Married,4,Call Center,Four-Door Car,Small,Personal L2 Auto,2011-02-28
Nevada,0,Extended,High School or Below,Employed,M,Urban,Married,2,Agent,Luxury,Medsize,L2 Corporate Auto,2011-01-22
California,0,Basic,Bachelor or below,Other,M,Urban,Married,1,Call Center,Four-Door Car,Medsize,L3 Personal Auto,2011-01-25
Washington,0,Basic,Bachelor or below,Employed,M,Suburban,Married,1,Agent,Two-Door Car,Small,L2 Corporate Auto,2011-01-18
Oregon,0,Basic,Bachelor or below,Employed,F,Rural,Married,3,Web,Four-Door Car,Medsize,L1 Corporate Auto,2011-02-13
Arizona,0,Basic,High School or Below,Employed,F,Urban,Married,1,Branch,Four-Door Car,Medsize,Personal L1 Auto,2011-01-15
California,0,Premium,Bachelor or below,Employed,M,Suburban,Married,1,Agent,Four-Door Car,Small,L3 Personal Auto,2011-01-08
Oregon,0,Extended,Graduate Level,Employed,F,Suburban,Married,2,Web,Four-Door Car,Small,L3 Personal Auto,2011-02-06
Oregon,0,Extended,Bachelor or below,Other,M,Suburban,Single,3,Agent,Two-Door Car,Small,Personal L2 Auto,2011-01-25
Arizona,0,Basic,High School or Below,Employed,M,Rural,Divorced,1,Call Center,Four-Door Car,Medsize,L3 Personal Auto,2011-02-07
Nevada,0,Basic,High School or Below,Other,F,Suburban,Married,3,Call Center,Two-Door Car,Medsize,L3 Corporate Auto,2011-01-18
Oregon,1,Basic,Bachelor or below,Employed,F,Rural,Single,2,Agent,Two-Door Car,Medsize,L3 Corporate Auto,2011-01-11
California,1,Extended,Bachelor or below,Employed,F,Suburban,Married,2,Agent,Four-Door Car,Small,Personal L2 Auto,2011-01-28
Arizona,0,Basic,High School or Below,Employed,M,Suburban,Married,4,Agent,Luxury,Medsize,Personal L2 Auto,2011-02-08
Washington,0,Basic,Bachelor or below,Employed,M,Suburban,Married,2,Call Center,Four-Door Car,Large,L2 Special Auto,2011-02-23
Oregon,0,Premium,Graduate Level,Other,F,Rural,Married,1,Branch,SUV,Medsize,Personal L2 Auto,2011-01-25
Arizona,0,Basic,Bachelor or below,Other,M,Suburban,Single,3,Call Center,Four-Door Car,Medsize,L3 Personal Auto,2011-01-31
Oregon,0,Basic,High School or Below,Employed,F,Suburban,Single,4,Agent,Two-Door Car,Medsize,Personal L2 Auto,2011-01-02
California,0,Extended,Bachelor or below,Other,F,Suburban,Married,2,Call Center,Four-Door Car,Medsize,L2 Corporate Auto,2011-02-07
Arizona,0,Basic,High School or Below,Other,F,Suburban,Married,4,Branch,Four-Door Car,Medsize,Personal L2 Auto,2011-01-18
Oregon,0,Basic,Bachelor or below,Employed,M,Suburban,Married,1,Agent,SUV,Small,Personal L2 Auto,2011-01-17
California,1,Basic,Bachelor or below,Employed,F,Suburban,Divorced,1,Web,SUV,Medsize,L1 Corporate Auto,2011-01-11
Nevada,0,Basic,High School or Below,Employed,F,Rural,Married,4,Branch,Four-Door Car,Medsize,L1 Special Auto,2011-02-21
